IdSession|IdPSX|IdSubscriber|StartSession|EndSession|Duartion|UpTx|DownTx
33398|1|70857|06/01/2024 03:54:30||27330|11812193328|13664236448
33582|1|88207|06/01/2024 04:41:47||24493|11547752400|11970153992
32163|1|25074|05/01/2024 21:45:16||49484|11091148144|16250442776
34762|1|76996|06/01/2024 10:40:42||2958|631716384|845694304
34318|1|26538|06/01/2024 08:36:12||10428|26145321720|72627333864
33268|1|26136|06/01/2024 03:16:39||29601|13254178904|19140738928
34692|1|91056|06/01/2024 10:29:28||3632|9943226704|21980427696
34411|1|82037|06/01/2024 09:02:19||8861|2901877528|4189197576
33198|1|94804|06/01/2024 02:55:24||30876|4457420136|5791873472
33159|1|87928|06/01/2024 02:43:19||31601|7708410568|8479962016
31609|1|83726|05/01/2024 19:14:04||58556|12731283560|12890973200
34520|1|99750|06/01/2024 09:32:05||7075|2570540536|3184860448
34860|1|44892|06/01/2024 11:14:29||931|113492672|158477664
34180|1|31741|06/01/2024 07:50:20||13180|1151746088|1342063624
33442|1|67328|06/01/2024 04:04:26||26734|24492177640|25281036032
31576|1|53764|05/01/2024 19:05:22||59078|10285899992|11509026648
33944|1|95402|06/01/2024 06:48:43||16877|1765443304|2459159792
34724|1|81356|06/01/2024 10:31:40||3500|1744185032|1875662360
31109|1|16747|05/01/2024 16:42:04||67676|1368540488|1759998184
32362|1|18190|05/01/2024 22:42:38||46042|154452384224|301910683000
33918|1|55243|06/01/2024 06:36:21||17619|988589208|1132017168
33014|1|42425|06/01/2024 02:03:02||34018|10880770440|11181965536
34379|1|93345|06/01/2024 08:54:10||9350|3320933832|3752219512
31488|1|11941|05/01/2024 18:35:45||60855|2188521584|3130391176
33399|1|70307|06/01/2024 03:55:03||27297|1671060736|2401526456
33885|1|51041|06/01/2024 06:25:36||18264|45527471368|106534861888
31577|1|47680|05/01/2024 19:09:31||58829|8120872632|10112792472
32422|1|91583|05/01/2024 23:04:36||44724|18973702640|20549213840
34658|1|43470|06/01/2024 10:13:59||4561|6570146984|19317305672
34589|1|86164|06/01/2024 09:58:12||5508|2074280160|2146595312
34521|1|83103|06/01/2024 09:33:31||6989|3378989592|3659649840
34659|1|49055|06/01/2024 10:13:09||4611|10282466768|29403373120
33231|1|63503|06/01/2024 03:03:44||30376|6074444648|7563018784
32749|1|89498|06/01/2024 00:46:05||38635|100910380392|252808958848
33302|1|20044|06/01/2024 03:27:40||28940|2988850456|4335692176
34020|1|46834|06/01/2024 07:04:18||15942|37386829912|21341575464
33400|1|91513|06/01/2024 03:58:50||27070|11398723696|14669171816
34861|1|48067|06/01/2024 11:14:56||904|71232768|84703656
33919|1|37040|06/01/2024 06:39:59||17401|7980017008|11014753576
32390|1|31978|05/01/2024 22:54:06||45354|3488971592|4958690224
33477|1|67346|06/01/2024 04:16:30||26010|1708385368|2483266312
34454|1|35838|06/01/2024 09:13:02||8218|825256528|1076383408
34484|1|33023|06/01/2024 09:20:58||7742|4106924608|4236372880
34693|1|43730|06/01/2024 10:22:35||4045|6976449880|19110509576
34114|1|6318|06/01/2024 07:36:54|06/01/2024 11:27:32|13838|2752668104|2922887888
