IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx
42959,4,7910,07-01-2024 17:42:39,,14241,536997920,760621118
41373,4,42131,07-01-2024 09:44:43,,42917,362158373,387247157
43170,4,97563,07-01-2024 18:47:05,,10375,141884128,146154763
41332,4,73563,07-01-2024 09:35:25,,43475,187739217,271634680
43645,4,25360,07-01-2024 21:05:06,,2094,182253609,186688584
42292,4,93340,07-01-2024 14:34:30,,25530,3824255642,9717769921
42373,4,30742,07-01-2024 14:51:55,,24485,869869725,1278343502
42809,4,78929,07-01-2024 17:05:15,,16485,197838100,247790159
42993,4,41735,07-01-2024 17:59:34,,13226,765449022,861325552
42737,4,61752,07-01-2024 16:40:22,,17978,74965370,102054497
43543,4,99781,07-01-2024 20:34:52,,3908,101960342,146972997
42994,4,54457,07-01-2024 17:55:39,,13461,1762607996,1794214832
41297,4,29731,07-01-2024 09:25:07,,44093,360278040,521198181
43573,4,40605,07-01-2024 20:49:26,,3034,45712329,52765393
42768,4,28949,07-01-2024 16:52:43,,17237,202846149,255610119
42441,4,16261,07-01-2024 15:15:02,,23098,472043840,591423473
42845,4,23552,07-01-2024 17:15:35,,15865,335067871,347301197
41805,4,37871,07-01-2024 12:05:53,,34447,4932171441,2927126344
43721,4,7476,07-01-2024 21:28:16,,704,4160387,4609979
40955,4,34595,07-01-2024 07:43:52,,50168,385715711,570896025
43504,4,42600,07-01-2024 20:23:31,,4589,178122498,216474591
43073,4,71649,07-01-2024 18:17:34,,12146,12924212414,10113788312
42887,4,60961,07-01-2024 17:23:28,,15392,707059817,929642458
40956,4,85404,07-01-2024 07:40:38,,50362,1982974029,2487574454
40371,4,16893,07-01-2024 04:33:26,,61594,1309028184,1495906877
40229,4,44658,07-01-2024 03:56:19,,63821,6090827337,16238990879
42846,4,40623,07-01-2024 17:18:23,,15697,117106132,128160382
42960,4,95752,07-01-2024 17:49:50,,13810,1045366312,1328757158
43505,4,55414,07-01-2024 20:22:45,,4635,1676887141,3739062506
42589,4,51091,07-01-2024 16:03:35,,20185,356153980,364599985
43035,4,13267,07-01-2024 18:00:59,,13141,4707254978,11036078147
43036,4,20286,07-01-2024 18:00:58,,13142,98043296,135827947
41194,4,86431,07-01-2024 08:53:05,,46015,3223957021,4161141819
42442,4,48539,07-01-2024 15:14:31,,23129,1994691154,5513139185
42847,4,31720,07-01-2024 17:17:45,,15735,387696670,564291361
40568,4,86874,07-01-2024 05:33:28,,57992,651214011,730041721
43230,4,66922,07-01-2024 19:08:43,,9077,69309009,86294723
42340,4,4003,07-01-2024 14:47:45,,24735,246774934,293435784
43464,4,18395,07-01-2024 20:12:48,,5232,80404483,80862365
41774,4,37940,07-01-2024 11:52:31,,35249,750147218,1015196453
42961,4,60698,07-01-2024 17:46:19,,14021,350083046,388030110
42043,4,17094,07-01-2024 13:13:57,,30363,668711576,877855590
41930,4,61589,07-01-2024 12:48:09,,31911,7071702282,20555046889
42560,4,84588,07-01-2024 15:52:53,,20827,634721342,835817122
43465,4,94027,07-01-2024 20:17:31,,4949,2835171,3380220
43336,4,88569,07-01-2024 19:30:54,,7746,5220437,5633324
41677,4,88187,07-01-2024 11:29:27,,36633,57869701,59174002
40294,4,30697,07-01-2024 04:13:35,,62785,972664900,1114227010
42443,4,80731,07-01-2024 15:19:49,,22811,333018046,351284613
41094,4,57318,07-01-2024 08:25:11,,47689,3010353789,3989218126
43755,4,49265,07-01-2024 21:30:08,,592,7643811,9502551
42995,4,56086,07-01-2024 17:50:00,,13800,590413881,621779440
42888,4,71837,07-01-2024 17:22:53,,15427,180279778,202682538
42045,4,16217,07-01-2024 13:15:09,,30291,1508377829,1977811091
41465,4,95317,07-01-2024 10:12:39,,41241,500538943,747290474
41504,4,85142,07-01-2024 10:25:03,,40497,1287674042,1388005536
41262,4,59615,07-01-2024 09:16:04,,44636,1341426005,1528966847
41806,4,29907,07-01-2024 12:07:35,,34345,425596272,587823554
42499,4,35855,07-01-2024 15:38:33,,21687,218852656,244314241
43135,4,25858,07-01-2024 18:39:31,,10829,4118263182,9950513560
41648,4,39478,07-01-2024 11:10:09,,37791,2017797742,2778238816
