IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx
17586,3,50937,03-01-2024 12:12:36,,9444,59532286,83533925
15144,3,10010,02-01-2024 21:23:44,,62776,115083179,169490718
16923,3,28360,03-01-2024 08:20:48,,23352,450472233,495604928
15683,3,22220,03-01-2024 00:48:58,,50462,573525649,681952428
17802,3,75977,03-01-2024 13:24:00,,5160,383296085,423003660
17953,3,42067,03-01-2024 14:18:48,,1872,15166446,18005123
17224,3,86426,03-01-2024 10:12:23,,16657,123565207,185178419
15684,3,36526,03-01-2024 00:44:49,,50711,825628331,948950164
16123,3,12473,03-01-2024 03:29:20,,40840,2667125267,2976412433
17552,3,24707,03-01-2024 12:07:27,,9753,120973289,142898061
18029,3,10551,03-01-2024 14:48:59,,61,388565,504593
15145,3,75683,02-01-2024 21:23:36,,62784,772262191,890898142
16328,3,41746,03-01-2024 04:32:31,,37049,783633272,848523707
17587,3,87237,03-01-2024 12:12:44,,9436,11451013,14364200
16799,3,9312,03-01-2024 07:30:06,,26394,7288625607,17815518108
17190,3,32604,03-01-2024 10:01:18,,17322,453362192,549763376
18030,3,91718,03-01-2024 14:48:13,,107,3676927,4765315
16469,3,71591,03-01-2024 05:26:33,,33807,3670579672,2949803726
16541,3,30067,03-01-2024 05:54:26,,32134,114789122,139781353
15710,3,63370,03-01-2024 00:50:06,,50394,810928720,961135046
16800,3,20253,03-01-2024 07:31:13,,26327,123627638,148755785
16897,3,63466,03-01-2024 08:14:22,,23738,277312009,281238950
16424,3,78820,03-01-2024 05:01:29,,35311,1093489549,1529612434
15476,3,42020,02-01-2024 23:20:16,,55784,1183800008,1419342905
16715,3,27631,03-01-2024 07:06:15,,27825,473216686,696289403
17954,3,20131,03-01-2024 14:12:36,,2244,2626939,3357595
17894,3,89311,03-01-2024 13:59:19,,3041,123186161,132034253
16924,3,55142,03-01-2024 08:26:26,,23014,328631632,397894484
18031,3,60937,03-01-2024 14:49:16,,44,1002115,1036298
16951,3,25434,03-01-2024 08:37:14,,22366,621703543,634306892
16272,3,77658,03-01-2024 04:19:30,,37830,76694692,83262714
16542,3,90107,03-01-2024 05:56:30,,32010,392541923,427632474
15745,3,46335,03-01-2024 01:04:14,,49546,2896270461,3342263136
17923,3,17408,03-01-2024 14:02:16,,2864,139064358,207907148
17404,3,91254,03-01-2024 11:16:32,,12808,389495726,389786971
16818,3,66573,03-01-2024 07:44:28,,25532,851048663,877240401
17250,3,68756,03-01-2024 10:24:24,,15936,816009602,896552920
17980,3,28929,03-01-2024 14:22:30,,1650,9138659,13226181
15978,3,92200,03-01-2024 02:38:52,,43868,854003384,973470852
16898,3,38823,03-01-2024 08:18:28,,23492,225048738,261650050
16543,3,15108,03-01-2024 05:50:12,,32388,295750456,338202634
16571,3,28616,03-01-2024 06:03:38,,31582,172514168,243035847
15797,3,68906,03-01-2024 01:28:01,,48119,532029789,590640817
17485,3,26599,03-01-2024 11:40:49,,11351,814541461,997032647
17286,3,93954,03-01-2024 10:31:57,,15483,2528650590,5114138420
16926,3,73371,03-01-2024 08:26:20,,23020,5966376028,16083445601
17287,3,19442,03-01-2024 10:32:29,,15451,695022451,1523818872
16125,3,61755,03-01-2024 03:20:41,,41359,161650358,184364362
16447,3,45210,03-01-2024 05:14:04,,34556,90003142,95427347
17955,3,39156,03-01-2024 14:13:42,,2178,29924115,34198517
16330,3,70324,03-01-2024 04:34:24,,36936,329580496,338884157
16927,3,24856,03-01-2024 08:29:01,,22859,1372645787,1541482173
17981,3,21910,03-01-2024 14:24:10,,1550,110569328,123023891
16670,3,41784,03-01-2024 06:48:33,,28887,1236807952,1498508462
15326,3,53066,02-01-2024 22:38:52,,58268,657740281,882884653
17956,3,95299,03-01-2024 14:13:29,,2191,31798037,32995776
16801,3,20535,03-01-2024 07:32:32,,26248,482606177,489205676
17895,3,25532,03-01-2024 13:59:44,,3016,76011207,77023565
16650,3,28503,03-01-2024 06:39:32,,29428,7589167540,15689002586
17982,3,76967,03-01-2024 14:21:02,,1738,14469430,17239340
17522,3,13839,03-01-2024 11:53:50,,10570,253514175,356614042
17321,3,8833,03-01-2024 10:49:56,,14404,562857904,612854441
17440,3,11539,03-01-2024 11:24:30,,12330,85631338,117681994
17741,3,96589,03-01-2024 13:04:42,,6318,280597186,318000357
15044,3,33666,02-01-2024 20:58:21,,64299,715659570,1073404098
17924,3,82331,03-01-2024 14:08:08,,2512,34562666,39998685
15860,3,95838,03-01-2024 01:51:34,,46706,9668626210,7122474406
16852,3,64630,03-01-2024 07:53:20,,25000,420799893,483445985
17288,3,10525,03-01-2024 10:38:43,,15077,279842177,416084101
16853,3,53883,03-01-2024 07:51:13,,25127,10622049214,27566508803
16597,3,79438,03-01-2024 06:19:58,,30602,1338596257,1741779261
16651,3,74536,03-01-2024 06:35:56,,29644,936038903,1299742442
17251,3,67630,03-01-2024 10:26:05,,15835,134861476,178620061
16819,3,40508,03-01-2024 07:42:59,,25621,526637300,613185815
17776,3,42959,03-01-2024 13:14:37,,5723,219634287,284218580
17069,3,27753,03-01-2024 09:22:13,,19667,114097776,127024932
17803,3,92956,03-01-2024 13:23:16,,5204,304109312,333645542
17464,3,52997,03-01-2024 11:31:36,,11904,2236602319,5758420002
16928,3,33175,03-01-2024 08:20:46,03-01-2024 14:45:23,23077,990329627,1224818356
17588,3,36515,03-01-2024 12:14:18,,9342,148764017,155731109
17322,3,16915,03-01-2024 10:48:53,,14467,101850828,146459371
14811,3,76712,02-01-2024 19:36:52,,69188,3540893834,4257118453
17486,3,86451,03-01-2024 11:44:58,,11102,100720606,118379280
16155,3,35241,03-01-2024 03:36:36,,40404,1246561123,1424338924
17742,3,14310,03-01-2024 13:03:57,,6363,228279258,265776650
16156,3,48836,03-01-2024 03:30:10,,40790,400809659,439658425
16127,3,26674,03-01-2024 03:28:41,,40879,15136632,15969423
16017,3,30386,03-01-2024 02:44:02,,43558,12868916237,29349794181
17553,3,5595,03-01-2024 12:01:12,,10128,46561449,46592816
16716,3,90340,03-01-2024 07:07:29,,27751,700330843,953054030
17252,3,22682,03-01-2024 10:24:15,,15945,376310154,504446478
17957,3,8161,03-01-2024 14:18:18,,1902,15348954,17412869
17925,3,15171,03-01-2024 14:08:30,,2490,16160472,23190003
17441,3,22914,03-01-2024 11:20:37,,12563,140521961,168516776
15686,3,49893,03-01-2024 00:42:32,,50848,1484652616,2179016757
17648,3,34028,03-01-2024 12:39:48,,7812,217300262,219975859
17024,3,17449,03-01-2024 09:02:56,,20824,176457092,187527961
18008,3,52785,03-01-2024 14:31:14,,1126,4156740,4346890
17025,3,23696,03-01-2024 09:06:34,,20606,836168668,864047521
17405,3,13356,03-01-2024 11:15:08,,12892,166935984,203817608
17856,3,49083,03-01-2024 13:46:13,,3827,8081076,11591840
17804,3,73603,03-01-2024 13:28:17,,4903,22535324,30003212
17102,3,25834,03-01-2024 09:32:26,,19054,148107042,198369025
17703,3,35615,03-01-2024 12:51:01,,7139,113106859,137014307
15208,3,99885,02-01-2024 21:43:32,,61588,423864762,579277511
16624,3,14993,03-01-2024 06:26:28,,30212,2654679675,3535397442
17104,3,26449,03-01-2024 09:38:46,,18674,224047108,294737324
17857,3,76836,03-01-2024 13:49:41,,3619,13442774,19342214
16393,3,42988,03-01-2024 04:53:08,,35812,421521782,451626157
16952,3,67292,03-01-2024 08:35:30,,22470,744521440,791874156
15897,3,79828,03-01-2024 02:08:51,,45669,760489927,974783934
17004,3,9339,03-01-2024 08:55:30,,21270,40677422,42815188
16599,3,61247,03-01-2024 06:19:07,,30653,1707313634,2117698901
16183,3,63789,03-01-2024 03:48:01,,39719,648209759,867073206
17225,3,93105,03-01-2024 10:11:09,,16731,276867380,371600389
16600,3,46132,03-01-2024 06:15:12,,30888,914854344,1191964402
15209,3,68204,02-01-2024 21:42:55,,61625,863231398,1263270465
16394,3,19490,03-01-2024 04:56:55,,35585,1019581599,1039980118
17896,3,35963,03-01-2024 13:58:55,,3065,25790516,27581464
17124,3,97281,03-01-2024 09:40:03,,18597,267286824,321549220
16652,3,42787,03-01-2024 06:33:59,,29761,153323733,206329301
17158,3,58057,03-01-2024 09:52:25,,17855,305201229,443942245
16157,3,10529,03-01-2024 03:39:03,,40257,1398417207,1666165561
16820,3,68739,03-01-2024 07:40:29,,25771,195472231,208699227
17777,3,81768,03-01-2024 13:10:32,,5968,192853915,254831552
17824,3,29703,03-01-2024 13:39:33,,4227,213547190,262301580
16625,3,22158,03-01-2024 06:26:38,,30202,8738748694,25180461837
17611,3,51289,03-01-2024 12:25:15,,8685,40389863,57359941
15687,3,80270,03-01-2024 00:42:09,,50871,467205631,644663343
17523,3,41881,03-01-2024 11:54:23,,10537,11228298,16669261
15820,3,29772,03-01-2024 01:36:47,,47593,907252918,1162918405
17524,3,14228,03-01-2024 11:52:26,,10654,171948493,176385072
16653,3,63658,03-01-2024 06:30:14,,29986,384175216,504270987
16900,3,36858,03-01-2024 08:11:54,,23886,267583945,340533577
17589,3,65722,03-01-2024 12:18:51,,9069,78574352,109187342
17704,3,99078,03-01-2024 12:56:36,,6804,98736065,133290626
15017,3,90072,02-01-2024 20:48:17,,64903,2993778446,3226062999
17253,3,67961,03-01-2024 10:25:27,,15873,1093753890,1318118550
17073,3,26015,03-01-2024 09:27:01,,19379,1129777408,1391176114
16874,3,80644,03-01-2024 08:06:40,,24200,345675616,357235114
16572,3,41373,03-01-2024 06:01:32,,31708,711233344,912491464
17378,3,82764,03-01-2024 11:02:32,,13648,230178799,291373253
17705,3,64327,03-01-2024 12:53:39,,6981,90736628,130678434
17323,3,42770,03-01-2024 10:44:47,,14713,408430230,452280936
17897,3,67752,03-01-2024 13:56:49,,3191,148866656,152604451
16512,3,62464,03-01-2024 05:45:41,,32659,1216769816,1644394956
16875,3,13736,03-01-2024 08:06:54,,24186,688058783,722995768
17825,3,86661,03-01-2024 13:34:16,,4544,134315367,182143395
